MatchID,Map,AverageRank,EconRating,FirstBloods,SpikePlants,Kills,Deaths,KD_Ratio,TeamWin
VAL-00101,Haven,Silver,56,16,5,42,62,0.68,0
VAL-00102,Icebox,Silver,57,15,9,66,60,1.1,1
VAL-00103,Haven,Gold,34,7,10,75,67,1.12,0
VAL-00104,Ascent,Silver,56,18,9,55,47,1.17,1
VAL-00105,Icebox,Platinum,40,15,3,63,75,0.84,0
VAL-00106,Pearl,Silver,72,12,9,58,58,1.0,1
VAL-00107,Pearl,Gold,68,12,7,58,68,0.85,0
VAL-00108,Sunset,Gold,69,19,5,54,49,1.1,0
VAL-00109,Haven,Platinum,25,15,6,67,60,1.12,0
VAL-00110,Pearl,Platinum,51,13,12,63,56,1.12,1
VAL-00111,Ascent,Platinum,54,9,6,53,64,0.83,0
VAL-00112,Split,Immortal,62,11,9,68,75,0.91,0
VAL-00113,Split,Silver,66,9,10,74,61,1.21,1
VAL-00114,Icebox,Gold,70,5,10,72,55,1.31,1
VAL-00115,Pearl,Gold,27,13,6,58,61,0.95,0
VAL-00116,Pearl,Gold,45,5,6,52,38,1.37,0
VAL-00117,Split,Platinum,56,9,8,51,56,0.91,0
VAL-00118,Pearl,Gold,65,11,5,55,39,1.41,1
VAL-00119,Haven,Gold,65,6,4,56,70,0.8,0
VAL-00120,Breeze,Gold,61,16,7,69,68,1.01,0
VAL-00121,Bind,Immortal,47,12,5,41,66,0.62,1
VAL-00122,Sunset,Ascendant,49,3,6,59,52,1.13,0
VAL-00123,Icebox,Gold,47,15,6,55,47,1.17,1
VAL-00124,Breeze,Silver,43,19,5,53,69,0.77,0
VAL-00125,Split,Diamond,43,13,6,65,85,0.76,0
VAL-00126,Pearl,Immortal,42,14,6,53,66,0.8,0
VAL-00127,Sunset,Gold,59,13,13,59,75,0.79,1
VAL-00128,Pearl,Gold,56,14,12,69,62,1.11,1
VAL-00129,Ascent,Ascendant,44,10,6,57,57,1.0,0
VAL-00130,Ascent,Platinum,34,9,6,73,77,0.95,0
VAL-00131,Sunset,Gold,51,8,6,52,59,0.88,0
VAL-00132,Sunset,Platinum,73,12,8,31,70,0.44,0
VAL-00133,Split,Ascendant,55,15,7,65,59,1.1,1
VAL-00134,Sunset,Diamond,65,15,7,63,57,1.11,1
VAL-00135,Haven,Platinum,57,10,9,70,58,1.21,1
VAL-00136,Pearl,Platinum,54,11,4,64,64,1.0,0
VAL-00137,Breeze,Silver,37,11,5,75,56,1.34,1
VAL-00138,Lotus,Diamond,50,10,3,63,81,0.78,0
VAL-00139,Sunset,Gold,49,4,6,70,63,1.11,0
VAL-00140,Icebox,Ascendant,73,11,7,68,58,1.17,1
VAL-00141,Ascent,Gold,57,11,7,54,53,1.02,1
VAL-00142,Haven,Diamond,70,12,11,56,66,0.85,1
VAL-00143,Lotus,Gold,69,10,4,58,37,1.57,1
VAL-00144,Breeze,Gold,45,13,2,82,58,1.41,1
VAL-00145,Lotus,Silver,55,23,7,54,68,0.79,1
VAL-00146,Sunset,Platinum,75,15,6,64,49,1.31,1
VAL-00147,Split,Diamond,62,10,10,61,64,0.95,1
VAL-00148,Ascent,Platinum,61,11,7,62,65,0.95,0
VAL-00149,Ascent,Gold,66,12,11,61,57,1.07,1
VAL-00150,Split,Silver,61,12,7,56,61,0.92,0
VAL-00151,Pearl,Ascendant,62,12,5,49,59,0.83,0
VAL-00152,Bind,Platinum,59,10,9,51,51,1.0,1
VAL-00153,Haven,Platinum,51,10,8,67,77,0.87,0
VAL-00154,Ascent,Diamond,42,15,5,65,64,1.02,0
VAL-00155,Icebox,Platinum,33,11,9,62,59,1.05,0
VAL-00156,Ascent,Gold,51,14,8,78,60,1.3,1
VAL-00157,Lotus,Platinum,60,11,7,84,69,1.22,1
VAL-00158,Ascent,Platinum,58,5,10,51,42,1.21,1
VAL-00159,Ascent,Diamond,63,8,11,74,58,1.28,1
VAL-00160,Bind,Diamond,53,6,5,48,47,1.02,0
VAL-00161,Bind,Silver,88,13,8,56,68,0.82,1
VAL-00162,Breeze,Gold,79,5,7,62,68,0.91,0
VAL-00163,Pearl,Silver,37,10,6,68,57,1.19,0
VAL-00164,Icebox,Silver,63,11,7,47,65,0.72,0
VAL-00165,Ascent,Platinum,67,11,2,61,64,0.95,0
VAL-00166,Ascent,Diamond,30,16,10,61,76,0.8,0
VAL-00167,Haven,Silver,57,16,9,45,66,0.68,0
VAL-00168,Bind,Gold,61,9,1,64,49,1.31,0
VAL-00169,Icebox,Ascendant,55,12,6,59,53,1.11,1
VAL-00170,Breeze,Diamond,60,10,8,66,61,1.08,1
VAL-00171,Pearl,Gold,56,14,10,55,40,1.38,1
VAL-00172,Split,Diamond,63,12,6,56,72,0.78,0
VAL-00173,Pearl,Gold,74,14,6,83,64,1.3,1
VAL-00174,Lotus,Silver,64,7,8,52,44,1.18,1
VAL-00175,Ascent,Silver,69,13,5,58,60,0.97,1
VAL-00176,Breeze,Silver,42,6,12,55,86,0.64,0
VAL-00177,Lotus,Gold,79,9,7,61,55,1.11,0
VAL-00178,Icebox,Ascendant,59,12,8,63,45,1.4,1
VAL-00179,Split,Diamond,50,4,11,72,55,1.31,1
VAL-00180,Bind,Gold,60,3,7,54,43,1.26,0
VAL-00181,Breeze,Gold,48,7,11,57,63,0.9,0
VAL-00182,Breeze,Gold,57,8,2,62,50,1.24,0
VAL-00183,Ascent,Platinum,59,9,10,42,67,0.63,0
VAL-00184,Sunset,Diamond,47,10,10,72,62,1.16,1
VAL-00185,Breeze,Silver,57,13,1,28,53,0.53,0
VAL-00186,Haven,Silver,47,20,6,67,45,1.49,1
VAL-00187,Split,Platinum,47,9,8,95,63,1.51,1
VAL-00188,Split,Platinum,43,14,9,66,61,1.08,1
VAL-00189,Haven,Gold,51,17,11,67,45,1.49,1
VAL-00190,Haven,Platinum,48,16,3,61,52,1.17,1
VAL-00191,Haven,Platinum,61,9,7,52,44,1.18,1
VAL-00192,Split,Gold,68,15,4,68,51,1.33,1
VAL-00193,Pearl,Gold,63,17,5,46,58,0.79,0
VAL-00194,Split,Gold,67,18,9,48,53,0.91,1
VAL-00195,Sunset,Diamond,66,18,5,55,47,1.17,1
VAL-00196,Ascent,Ascendant,44,8,7,65,63,1.03,0
VAL-00197,Lotus,Diamond,51,13,6,48,65,0.74,1
VAL-00198,Pearl,Platinum,76,9,10,67,67,1.0,1
VAL-00199,Bind,Platinum,48,7,1,64,76,0.84,0
VAL-00200,Lotus,Platinum,77,14,11,61,64,0.95,1
VAL-00201,Ascent,Ascendant,50,13,11,43,50,0.86,1
VAL-00202,Sunset,Silver,30,13,9,69,54,1.28,1
VAL-00203,Sunset,Gold,52,10,8,58,64,0.91,0
VAL-00204,Bind,Platinum,65,22,1,59,64,0.92,1
VAL-00205,Pearl,Platinum,75,18,9,55,51,1.08,1
VAL-00206,Haven,Gold,37,10,10,44,69,0.64,0
VAL-00207,Pearl,Platinum,65,12,7,50,48,1.04,1
VAL-00208,Sunset,Diamond,66,14,5,70,45,1.56,1
VAL-00209,Split,Gold,71,16,11,76,66,1.15,1
VAL-00210,Ascent,Diamond,23,14,4,66,53,1.25,0
VAL-00211,Bind,Gold,75,12,10,68,54,1.26,1
VAL-00212,Ascent,Ascendant,60,6,9,77,54,1.43,0
VAL-00213,Icebox,Gold,61,20,6,76,61,1.25,1
VAL-00214,Icebox,Platinum,67,9,13,66,56,1.18,1
VAL-00215,Pearl,Silver,31,16,8,54,60,0.9,0
VAL-00216,Sunset,Silver,67,12,9,40,68,0.59,0
VAL-00217,Sunset,Platinum,83,17,9,61,55,1.11,1
VAL-00218,Haven,Gold,39,7,8,62,65,0.95,0
VAL-00219,Haven,Gold,54,9,7,86,75,1.15,1
VAL-00220,Haven,Silver,55,11,9,67,49,1.37,1
VAL-00221,Split,Diamond,59,8,7,62,73,0.85,0
VAL-00222,Lotus,Diamond,60,10,2,51,50,1.02,0
VAL-00223,Breeze,Silver,47,17,5,61,52,1.17,1
VAL-00224,Lotus,Platinum,55,14,10,73,45,1.62,1
VAL-00225,Ascent,Diamond,76,18,10,58,54,1.07,1
VAL-00226,Lotus,Platinum,60,12,4,47,63,0.75,0
VAL-00227,Split,Gold,59,11,5,51,67,0.76,0
VAL-00228,Ascent,Platinum,46,7,5,46,69,0.67,0
VAL-00229,Lotus,Silver,71,16,11,53,39,1.36,0
VAL-00230,Split,Gold,52,11,2,49,43,1.14,0
VAL-00231,Breeze,Silver,30,13,5,65,63,1.03,1
VAL-00232,Lotus,Platinum,60,10,7,67,65,1.03,1
VAL-00233,Split,Silver,63,23,3,75,70,1.07,1
VAL-00234,Haven,Ascendant,51,12,7,59,63,0.94,0
VAL-00235,Sunset,Gold,28,9,4,59,48,1.23,0
VAL-00236,Haven,Silver,42,7,4,63,50,1.26,0
VAL-00237,Sunset,Gold,54,14,5,54,61,0.89,1
VAL-00238,Bind,Gold,50,9,6,49,45,1.09,0
VAL-00239,Bind,Gold,60,10,5,51,50,1.02,0
VAL-00240,Bind,Gold,62,6,7,66,59,1.12,0
VAL-00241,Breeze,Silver,50,12,11,69,57,1.21,1
VAL-00242,Haven,Gold,38,12,10,84,60,1.4,1
VAL-00243,Sunset,Gold,72,19,12,50,63,0.79,1
VAL-00244,Split,Silver,62,10,7,49,46,1.07,0
VAL-00245,Ascent,Diamond,63,3,7,41,61,0.67,0
VAL-00246,Split,Platinum,60,11,8,62,47,1.32,1
VAL-00247,Ascent,Platinum,68,17,2,65,59,1.1,1
VAL-00248,Icebox,Gold,50,14,10,54,66,0.82,0
VAL-00249,Split,Platinum,65,16,6,45,64,0.7,0
VAL-00250,Lotus,Ascendant,63,14,7,80,50,1.6,1
VAL-00251,Lotus,Silver,63,10,8,64,49,1.31,1
VAL-00252,Pearl,Silver,41,8,5,48,75,0.64,0
VAL-00253,Haven,Silver,57,8,5,56,67,0.84,0
VAL-00254,Ascent,Silver,60,10,8,83,58,1.43,1
VAL-00255,Ascent,Silver,76,15,8,69,72,0.96,1
VAL-00256,Haven,Platinum,56,12,13,57,58,0.98,1
VAL-00257,Breeze,Gold,68,5,8,50,83,0.6,0
VAL-00258,Pearl,Immortal,37,13,9,74,57,1.3,1
VAL-00259,Breeze,Silver,46,17,13,46,85,0.54,1
VAL-00260,Breeze,Gold,60,6,8,65,62,1.05,0
VAL-00261,Breeze,Immortal,60,14,8,65,48,1.35,1
VAL-00262,Haven,Diamond,46,4,0,71,60,1.18,0
VAL-00263,Breeze,Gold,66,8,6,66,67,0.99,0
VAL-00264,Lotus,Platinum,53,7,8,66,60,1.1,0
VAL-00265,Bind,Diamond,53,15,5,63,54,1.17,0
VAL-00266,Icebox,Gold,54,19,8,63,63,1.0,1
VAL-00267,Ascent,Silver,71,16,9,79,66,1.2,0
VAL-00268,Ascent,Diamond,68,16,10,60,53,1.13,1
VAL-00269,Icebox,Gold,78,8,7,69,59,1.17,1
VAL-00270,Haven,Silver,62,14,2,56,50,1.12,1
VAL-00271,Split,Gold,78,13,7,50,64,0.78,1
VAL-00272,Haven,Gold,58,7,6,55,51,1.08,1
VAL-00273,Ascent,Diamond,53,16,5,58,62,0.94,0
VAL-00274,Ascent,Silver,50,14,6,50,71,0.7,0
VAL-00275,Icebox,Diamond,53,11,6,45,67,0.67,0
VAL-00276,Breeze,Gold,53,15,6,72,57,1.26,1
VAL-00277,Haven,Gold,47,13,6,54,47,1.15,1
VAL-00278,Sunset,Silver,48,17,11,57,60,0.95,1
VAL-00279,Icebox,Platinum,62,20,8,54,56,0.96,1
VAL-00280,Lotus,Ascendant,49,11,8,37,60,0.62,0
VAL-00281,Ascent,Gold,35,11,8,76,61,1.25,1
VAL-00282,Icebox,Silver,34,10,3,51,56,0.91,0
VAL-00283,Haven,Platinum,30,12,10,70,53,1.32,1
VAL-00284,Ascent,Diamond,38,17,13,50,64,0.78,1
VAL-00285,Split,Silver,41,8,4,62,75,0.83,1
VAL-00286,Icebox,Platinum,43,7,5,70,62,1.13,0
VAL-00287,Pearl,Platinum,58,13,5,48,59,0.81,0
VAL-00288,Ascent,Gold,40,12,8,56,70,0.8,0
VAL-00289,Haven,Gold,44,13,7,54,57,0.95,0
VAL-00290,Bind,Silver,33,4,5,55,73,0.75,0
VAL-00291,Sunset,Diamond,47,18,9,68,68,1.0,1
VAL-00292,Breeze,Platinum,64,13,8,74,33,2.24,1
VAL-00293,Haven,Gold,55,22,11,56,64,0.88,1
VAL-00294,Lotus,Gold,56,14,7,63,54,1.17,1
VAL-00295,Lotus,Gold,55,10,7,47,68,0.69,1
VAL-00296,Bind,Diamond,40,13,6,85,44,1.93,1
VAL-00297,Breeze,Gold,50,18,8,65,59,1.1,1
VAL-00298,Pearl,Gold,58,9,4,68,58,1.17,0
VAL-00299,Bind,Gold,67,14,10,55,56,0.98,1
VAL-00300,Bind,Gold,59,14,9,71,70,1.01,1
VAL-00301,Ascent,Gold,66,14,8,61,88,0.69,0
VAL-00302,Lotus,Silver,42,8,6,70,63,1.11,0
VAL-00303,Ascent,Silver,37,15,12,51,73,0.7,0
VAL-00304,Sunset,Diamond,34,14,5,62,73,0.85,0
VAL-00305,Breeze,Silver,65,18,4,40,84,0.48,0
VAL-00306,Pearl,Silver,38,19,6,66,68,0.97,1
VAL-00307,Pearl,Diamond,68,13,9,66,68,0.97,1
VAL-00308,Haven,Silver,50,13,11,42,59,0.71,0
VAL-00309,Bind,Platinum,75,8,10,49,50,0.98,1
VAL-00310,Sunset,Gold,50,11,3,52,71,0.73,0
VAL-00311,Lotus,Silver,50,10,7,65,55,1.18,1
VAL-00312,Pearl,Gold,56,16,6,32,40,0.8,0
VAL-00313,Sunset,Silver,50,13,8,79,75,1.05,1
VAL-00314,Split,Diamond,60,8,6,53,58,0.91,0
VAL-00315,Split,Gold,42,9,9,90,64,1.41,1
VAL-00316,Ascent,Silver,57,22,6,60,49,1.22,1
VAL-00317,Lotus,Silver,46,10,4,36,69,0.52,0
VAL-00318,Haven,Gold,53,15,11,44,57,0.77,1
VAL-00319,Pearl,Silver,38,12,7,60,62,0.97,0
VAL-00320,Bind,Gold,65,11,10,46,66,0.7,0
VAL-00321,Bind,Gold,51,17,4,50,59,0.85,1
VAL-00322,Pearl,Diamond,66,10,4,35,53,0.66,0
VAL-00323,Breeze,Gold,46,11,3,55,60,0.92,0
VAL-00324,Haven,Platinum,55,17,5,75,56,1.34,1
VAL-00325,Sunset,Diamond,66,10,5,53,33,1.61,1
VAL-00326,Breeze,Silver,41,6,5,65,60,1.08,0
VAL-00327,Breeze,Diamond,44,7,7,49,69,0.71,0
VAL-00328,Ascent,Diamond,65,14,4,70,42,1.67,1
VAL-00329,Split,Gold,71,9,5,55,66,0.83,0
VAL-00330,Breeze,Immortal,55,17,8,63,67,0.94,1
VAL-00331,Breeze,Gold,43,12,13,52,72,0.72,0
VAL-00332,Icebox,Gold,51,15,8,57,63,0.9,1
VAL-00333,Ascent,Diamond,79,13,8,47,58,0.81,1
VAL-00334,Lotus,Gold,39,16,6,76,60,1.27,1
VAL-00335,Icebox,Gold,61,20,1,60,59,1.02,1
VAL-00336,Icebox,Silver,57,14,6,52,48,1.08,1
VAL-00337,Pearl,Diamond,41,14,4,57,56,1.02,0
VAL-00338,Split,Diamond,51,16,10,64,65,0.98,1
VAL-00339,Breeze,Platinum,33,10,12,67,59,1.14,1
VAL-00340,Split,Ascendant,58,14,4,54,55,0.98,0
VAL-00341,Haven,Gold,60,8,7,67,61,1.1,1
VAL-00342,Pearl,Silver,39,9,3,60,53,1.13,0
VAL-00343,Lotus,Platinum,62,10,9,52,62,0.84,0
VAL-00344,Split,Diamond,47,17,11,56,64,0.88,1
VAL-00345,Bind,Silver,46,11,9,54,61,0.89,0
VAL-00346,Haven,Silver,43,9,8,79,50,1.58,1
VAL-00347,Ascent,Diamond,63,15,7,61,69,0.88,1
VAL-00348,Lotus,Ascendant,35,5,8,67,52,1.29,0
VAL-00349,Haven,Platinum,36,5,6,72,60,1.2,0
VAL-00350,Pearl,Gold,48,11,6,61,74,0.82,0
VAL-00351,Icebox,Immortal,48,11,11,69,43,1.6,1
VAL-00352,Icebox,Diamond,63,16,9,60,52,1.15,1
VAL-00353,Pearl,Gold,54,17,5,59,61,0.97,1
VAL-00354,Sunset,Diamond,54,12,12,57,55,1.04,1
VAL-00355,Icebox,Diamond,36,11,5,55,45,1.22,0
VAL-00356,Ascent,Ascendant,52,9,13,65,60,1.08,1
VAL-00357,Ascent,Diamond,26,12,3,49,38,1.29,0
VAL-00358,Bind,Platinum,58,2,7,48,82,0.59,0
VAL-00359,Breeze,Platinum,63,10,8,69,69,1.0,1
VAL-00360,Sunset,Gold,46,12,8,72,51,1.41,1
VAL-00361,Lotus,Platinum,60,9,8,77,57,1.35,1
VAL-00362,Icebox,Diamond,50,9,11,56,44,1.27,1
VAL-00363,Ascent,Ascendant,70,11,8,43,74,0.58,0
VAL-00364,Pearl,Gold,58,12,9,41,61,0.67,0
VAL-00365,Icebox,Platinum,43,15,5,73,46,1.59,1
VAL-00366,Breeze,Gold,69,14,9,69,56,1.23,1
VAL-00367,Pearl,Platinum,65,16,6,65,67,0.97,1
VAL-00368,Haven,Platinum,50,14,10,66,66,1.0,1
VAL-00369,Haven,Silver,61,12,11,67,66,1.02,1
VAL-00370,Icebox,Gold,61,21,7,79,61,1.3,0
VAL-00371,Breeze,Silver,50,9,9,49,37,1.32,1
VAL-00372,Sunset,Silver,56,8,8,51,84,0.61,0
VAL-00373,Icebox,Diamond,58,11,7,65,57,1.14,1
VAL-00374,Ascent,Gold,47,12,6,68,63,1.08,1
VAL-00375,Split,Gold,71,13,4,48,77,0.62,0
VAL-00376,Icebox,Silver,31,8,5,68,62,1.1,0
VAL-00377,Icebox,Silver,63,20,7,56,75,0.75,1
VAL-00378,Pearl,Diamond,40,11,11,65,72,0.9,0
VAL-00379,Split,Gold,52,8,8,47,76,0.62,0
VAL-00380,Ascent,Diamond,36,13,10,41,66,0.62,0
VAL-00381,Icebox,Gold,39,16,2,66,57,1.16,0
VAL-00382,Pearl,Gold,54,18,11,80,55,1.45,1
VAL-00383,Breeze,Gold,56,2,9,60,78,0.77,0
VAL-00384,Icebox,Platinum,68,15,10,78,58,1.34,1
VAL-00385,Split,Platinum,50,19,1,46,70,0.66,0
VAL-00386,Bind,Ascendant,62,10,6,51,54,0.94,0
VAL-00387,Split,Platinum,55,11,4,65,56,1.16,0
VAL-00388,Haven,Gold,62,8,9,65,62,1.05,1
VAL-00389,Ascent,Diamond,42,10,9,55,56,0.98,0
VAL-00390,Lotus,Ascendant,56,8,10,66,54,1.22,1
VAL-00391,Icebox,Gold,59,16,6,55,57,0.96,1
VAL-00392,Split,Silver,49,12,9,61,67,0.91,1
VAL-00393,Lotus,Platinum,60,0,7,63,55,1.15,0
VAL-00394,Pearl,Gold,61,10,11,79,60,1.32,1
VAL-00395,Bind,Immortal,49,9,9,51,77,0.66,1
VAL-00396,Ascent,Gold,64,15,5,66,66,1.0,1
VAL-00397,Split,Silver,27,12,8,68,73,0.93,0
VAL-00398,Lotus,Ascendant,32,12,3,83,63,1.32,0
VAL-00399,Bind,Diamond,43,15,11,75,59,1.27,1
VAL-00400,Haven,Silver,58,16,9,67,75,0.89,1
VAL-00401,Ascent,Ascendant,46,13,9,41,47,0.87,0
VAL-00402,Ascent,Gold,39,9,10,65,69,0.94,0
VAL-00403,Haven,Gold,54,6,8,71,73,0.97,0
VAL-00404,Icebox,Ascendant,56,18,3,49,45,1.09,1
VAL-00405,Haven,Gold,47,26,10,51,54,0.94,1
VAL-00406,Ascent,Silver,41,12,5,78,62,1.26,1
VAL-00407,Ascent,Gold,55,13,5,72,65,1.11,1
VAL-00408,Lotus,Platinum,65,18,9,45,71,0.63,0
VAL-00409,Bind,Silver,40,5,5,60,49,1.22,0
VAL-00410,Haven,Platinum,74,16,8,60,53,1.13,1
VAL-00411,Bind,Platinum,48,14,9,76,76,1.0,1
VAL-00412,Haven,Gold,47,9,9,77,68,1.13,1
VAL-00413,Pearl,Platinum,57,10,10,63,66,0.95,1
VAL-00414,Ascent,Diamond,56,7,5,50,60,0.83,0
VAL-00415,Lotus,Gold,28,17,6,56,60,0.93,0
VAL-00416,Bind,Gold,54,8,8,42,69,0.61,0
VAL-00417,Haven,Gold,62,14,3,44,68,0.65,0
VAL-00418,Sunset,Platinum,67,5,5,87,61,1.43,1
VAL-00419,Pearl,Diamond,54,18,4,57,47,1.21,1
VAL-00420,Split,Gold,51,11,1,57,47,1.21,1
VAL-00421,Icebox,Gold,64,16,5,59,68,0.87,0
VAL-00422,Bind,Gold,77,11,7,61,64,0.95,1
VAL-00423,Lotus,Platinum,56,10,7,64,57,1.12,1
VAL-00424,Split,Silver,53,7,6,51,45,1.13,0
VAL-00425,Sunset,Diamond,70,16,4,75,73,1.03,1
VAL-00426,Icebox,Gold,41,11,7,53,54,0.98,0
VAL-00427,Sunset,Platinum,56,13,5,43,56,0.77,0
VAL-00428,Split,Gold,84,9,0,46,58,0.79,1
VAL-00429,Icebox,Platinum,60,12,4,60,48,1.25,1
VAL-00430,Sunset,Silver,64,13,8,69,46,1.5,1
VAL-00431,Lotus,Platinum,51,5,7,68,62,1.1,0
VAL-00432,Haven,Silver,62,9,8,73,73,1.0,1
